filename,status,grade,duration_seconds,size_bytes,visual_summary,recommended_placement,notes
20250909_134203.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,555359993,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_134422.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,697996988,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_140401.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,304459441,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_140457.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,460813868,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_140621.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,349104492,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_140842.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,372250801,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_164628.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,310208381,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_164742.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,306070314,,,Do not infer content or quality from filename alone. Independently review before use.
Mosaic kitec pipe sample1.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,362672837,,,Do not infer content or quality from filename alone. Independently review before use.
Conventional vs pt amount of employees.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,387853998,,,Do not infer content or quality from filename alone. Independently review before use.
Conventional vs pt2.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,303926296,,,Do not infer content or quality from filename alone. Independently review before use.
Conventional vs PT.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,282033417,,,Do not infer content or quality from filename alone. Independently review before use.
20251021_101200.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,296517695,,,Do not infer content or quality from filename alone. Independently review before use.
20251024_114557.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,804814769,,,Do not infer content or quality from filename alone. Independently review before use.
20251024_115030.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,527670403,,,Do not infer content or quality from filename alone. Independently review before use.
20251024_115502.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,606857174,,,Do not infer content or quality from filename alone. Independently review before use.
20260122_233801.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,390632292,,,Do not infer content or quality from filename alone. Independently review before use.
20260206_121303.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,341902580,,,Do not infer content or quality from filename alone. Independently review before use.
